"locationTags.href","locationTags.text"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2721527-Reviews-Caranzalem_Beach-Panaji_Goa.html","Caranzalem Beach"
"https://www.tripadvisor.in/Attraction_Review-g306995-d319680-Reviews-Kerkar_Art_Complex-Calangute_Goa.html","Kerkar Art Complex"
"https://www.tripadvisor.in/Attraction_Review-g1584785-d4138935-Reviews-Sri_Chandreshwar_Temple-Ponda_Goa.html","Sri Chandreshwar Temple"
"https://www.tripadvisor.in/Attraction_Review-g1152662-d7228510-Reviews-San_Thome_Museum_Back_in_Time-Margao_Goa.html","San Thome Museum: Back in Time"
"https://www.tripadvisor.in/Attraction_Review-g2295141-d3705556-Reviews-Redi_Ganpati_Temple-Aronda_Goa.html","Redi Ganpati Temple"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2720758-Reviews-Church_of_Reis_Magos-Panaji_Goa.html","Church of Reis Magos"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c20-t109-Goa.html","Dance Clubs & Discos (3)"
"https://www.tripadvisor.in/Attraction_Review-g1092070-d4151776-Reviews-Hollant_Beach-Bogmalo_Goa.html","Hollant Beach"
"https://www.tripadvisor.in/Attraction_Review-g303877-d2721557-Reviews-Cotigao_Wildlife_Sanctuary-Panaji_Goa.html","Cotigao Wildlife Sanctuary"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c61-t214-Goa.html","Bike Tours (1)"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c61-t220-Goa.html","Nature & Wildlife Tours (6)"
"https://www.tripadvisor.in/Attraction_Review-g816969-d4151777-Reviews-Chapoli_Dam-Agonda_Goa.html","Chapoli Dam"
"https://www.tripadvisor.in/Attraction_Review-g1199433-d9731824-Reviews-Gonsua_Beach-Majorda_Goa.html","Gonsua Beach"
"https://www.tripadvisor.in/Attraction_Review-g312681-d9565324-Reviews-Three_Kings_Chapel-Cansaulim_Goa.html","Three Kings Chapel"
"https://www.tripadvisor.in/Attraction_Review-g816969-d4151778-Reviews-Conco_Island-Agonda_Goa.html","Conco Island"
"https://www.tripadvisor.in/Attraction_Review-g7193108-d7188108-Reviews-Mayem_Lake-Maem_Goa.html","Mayem Lake"
"https://www.tripadvisor.in/Attraction_Review-g1010240-d4138943-Reviews-Sri_Bhagavati_Temple-Mandrem_Goa.html","Sri Bhagavati Temple"
"https://www.tripadvisor.in/Attraction_Review-g1584785-d4138938-Reviews-Safa_Mosque-Ponda_Goa.html","Safa Mosque"
"https://www.tripadvisor.in/Attraction_Review-g303877-d4401085-Reviews-Sao_Tome_Old_Quarter-Panaji_Goa.html","Sao Tome Old Quarter"
"https://www.tripadvisor.in/Attraction_Review-g306996-d7728824-Reviews-Kuskem_Waterfall-Canacona_Goa.html","Kuskem Waterfall"
"https://www.tripadvisor.in/Attraction_Review-g635747-d8696740-Reviews-Blue_Whale_Water_Park-Baga_Goa.html","Blue Whale Water Park"
"https://www.tripadvisor.in/Attraction_Review-g303877-d4401069-Reviews-Corjuem_Fort-Panaji_Goa.html","Corjuem Fort"
"https://www.tripadvisor.in/Attraction_Review-g306996-d4138912-Reviews-Cotigo_Wildlife_Sanctuary-Canacona_Goa.html","Cotigo Wildlife Sanctuary"
